id,fdgrp_id,data_src_id,long_desc,shrt_desc,comm_name,manufacturer,ref_desc,refuse,sci_name
1107,100,1,"Milk, human, mature, fluid","MILK,HUMAN,MATURE,FLUID",,,,0,
1108,100,1,"Milk, indian buffalo, fluid","MILK,INDIAN BUFFALO,FLUID",,,,0,
1109,100,1,"Milk, sheep, fluid","MILK,SHEEP,FLUID",,,,0,
1110,100,1,"Milk shakes, thick chocolate","MILK SHAKES,THICK CHOC",,,,0,
1111,100,1,"Milk shakes, thick vanilla","MILK SHAKES,THICK VANILLA",,,,0,
1112,100,1,"Whey, acid, fluid","WHEY,ACID,FLUID",,,,0,
1113,100,1,"Whey, acid, dried","WHEY,ACID,DRIED",,,,0,
1114,100,1,"Whey, sweet, fluid","WHEY,SWEET,FLUID",,,,0,
1115,100,1,"Whey, sweet, dried","WHEY,SWEET,DRIED",,,,0,
1116,100,1,"Yogurt, plain, whole milk","YOGURT,PLN,WHL MILK",,,,0,
1117,100,1,"Yogurt, plain, low fat","YOGURT,PLN,LOFAT",,,,0,
1118,100,1,"Yogurt, plain, skim milk","YOGURT,PLN,SKIM MILK.",,,,0,
1119,100,1,"Yogurt, vanilla, low fat.","YOGURT,VANILLA,LOFAT.",,,,0,
1120,100,1,"Yogurt, fruit, low fat,9 g protein/8 oz","YOGURT,FRUIT,LOFAT,9 G PROTEIN/8 OZ",,,,0,
1121,100,1,"Yogurt, fruit, low fat, 10 grams protein per 8 ounce","YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OUNCE",,,,0,
1122,100,1,"Yogurt, fruit, low fat, 11g protein/8 oz","YOGURT,FRUIT,LOFAT,11G PROTEIN/8 OZ",,,,0,
1123,100,1,"Egg, whole, raw, fresh","EGG,WHL,RAW,FRSH",,,Shell,12,
1124,100,1,"Egg, white, raw, fresh","EGG,WHITE,RAW,FRESH",,,,0,
1125,100,1,"Egg, yolk, raw, fresh","EGG,YOLK,RAW,FRSH",,,,0,
1126,100,1,"Egg, yolk, raw, frozen, pasteurized","EGG,YOLK,RAW,FRZ,PAST",,,,0,
1127,100,1,"Egg, yolk, raw, frozen, sugared, pasteurized","EGG,YOLK,RAW,FRZ,SUGARED,PAST",,,,0,
1128,100,1,"Egg, whole, cooked, fried","EGG,WHL,CKD,FRIED",,,,0,
1129,100,1,"Egg, whole, cooked, hard-boiled","EGG,WHL,CKD,HARD-BOILED",,,Shell,12,
1130,100,1,"Egg, whole, cooked, omelet","EGG,WHOLE,COOKED,OMELET",,,,0,
1131,100,1,"Egg, whole, cooked, poached","EGG,WHL,CKD,POACHED",,,,0,
1132,100,1,"Egg, whole, cooked, scrambled","EGG,WHL,CKD,SCRMBLD",,,,0,
1133,100,1,"Egg, whole, dried","EGG,WHL,DRIED",,,,0,
1134,100,1,"Egg, whole, dried, stabilized, glucose reduced","EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",,,,0,
1135,100,1,"Egg, white, dried, flakes, stabilized, glucose reduced","EGG,WHITE,DRIED,FLAKES,STABILIZED,GLUCOSE RED",,,,0,
1136,100,1,"Egg, white, dried, powder, stabilized, glucose reduced","EGG,WHITE,DRIED,PDR,STABILIZED,GLUCOSE RED",,,,0,
1137,100,1,"Egg, yolk, dried","EGG,YOLK,DRIED",,,,0,
1138,100,1,"Egg, duck, whole, fresh, raw","EGG,DUCK,WHOLE,FRESH,RAW",,,Shell,12,
1139,100,1,"Egg, goose, whole, fresh, raw","EGG,GOOSE,WHOLE,FRESH,RAW",,,Shell,13,
1140,100,1,"Egg, quail, whole, fresh, raw","EGG,QUAIL,WHOLE,FRESH,RAW",,,Shell,8,
1141,100,1,"Egg, turkey, whole, fresh, raw","EGG,TURKEY,WHL,FRSH,RAW",,,Shell,12,
1144,100,1,"Egg substitute, powder","EGG SUBSTITUTE,POWDER",,,,0,
1145,100,1,"Butter, without salt","BUTTER,WITHOUT SALT",,,,0,
1146,100,1,"Cheese, parmesan, shredded","CHEESE,PARMESAN,SHREDDED",,,,0,
1151,100,1,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)","MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",,,,0,
