id,msre_desc
1,"pat (1"" sq, 1/3"" high)"
2,tbsp
3,cup
4,stick
5,oz
6,cubic inch
7,"cup, crumbled, not packed"
8,"cup, diced"
9,"cup, shredded"
10,slice (1 oz)
11,"cup, sliced"
12,"cup, melted"
13,package (4.5 oz)
14,wedge (1.33 oz)
15,"cup, large curd (not packed)"
16,"cup, small curd (not packed)"
17,cup (not packed)
18,"tbsp, whipped"
19,"package, small (3 oz)"
20,package (7 oz)
21,"cup, crumbled"
22,package (8 oz)
23,package (6 oz)
24,box
25,slices
26,package (3 oz)
27,package (5 oz)
28,slice (3/4 oz)
29,jar (5 oz)
30,slice
31,"slice, thin"
32,fl oz
33,"container, individual (.5 fl oz)"
34,"container, individual"
35,"cup, whipped"
36,"cup, fluid (yields 2 cups whipped)"
37,quart
38,serving
39,tsp
40,packet
41,"portion, amount to make 1 tbsp"
42,package yields
43,envelope (1-1/3 cup)
44,cup (makes 1 cup reconstituted milk)
45,lb
46,can (13 oz)
47,container (10.6 oz)
48,container (11 oz)
49,container (6 oz)
50,container (8 oz)
51,container (4 oz)
52,cup (8 fl oz)
53,container (4.4 oz)
54,container (5 oz)
55,"container, Dannon Sprinkl'ins (4.1 oz)"
56,large
57,extra large
58,jumbo
59,cup (4.86 large eggs)
60,medium
61,small
62,"cup, chopped"
63,"cup, sifted"
64,egg
65,tablespoon
66,pint
67,slice 3/4 oz
68,slice 2/3 oz
69,scoop
70,cup grated
71,container
72,bar
73,unit
74,can
75,cup shredded
76,slice (2/3 oz)
77,piece
78,package
79,pieces
80,container (5.3 oz)
81,container (7 oz)
82,bottle
83,"tsp, whole"
84,"tbsp, whole"
85,"tsp, leaves"
86,"tbsp, leaves"
87,"tsp, ground"
88,"tbsp, ground"
89,"tsp, crumbled"
90,"tbsp, crumbled"
91,dash
92,leaves
93,"tbsp, chopped"
94,"cup leaves, whole"
95,sprigs
96,cup sprigs
97,tsp or 1 packet
98,"tbsp, drained"
99,jar
100,jar Gerber Second Foods (2.5 oz)
101,jar Beech-Nut Stage 1 (2.5 oz)
102,jar Heinz Strained-2 (2.5 oz)
103,jar Gerber Third Foods (2.5 oz)
104,jar Heinz Junior-3 (2.5 oz)
105,jar Gerber Graduate (2.5 oz)
106,jar Gerber Second Food (4 oz)
107,jar Beech-Nut Stage 2 (4 oz)
108,jar Heinz Strained-2 (4 oz)
109,jar Beech-Nut Stage 3 (6 oz)
