id,product_id,quantity,unit,mg_per_ct,exemplification,price,grams,serving,serving_mg,dimensions,stock,interval,created
1,1,50,g,,powder,8,,1 tsp.,2400,"{10,8,1.5}",9,,1580575805
2,1,250,g,,powder,36,,1 tsp.,2400,"{15,10,2.5}",3,,1580575805
3,2,2,oz,,lotion,8,56,½ tsp.,1600,"{5,5,5}",10,,1580575805
4,2,8,oz,,lotion,28,224,½ tsp.,1600,"{9,9,8}",6,,1580575805
5,3,50,g,,powder,9,,3 capsules,,"{10,8,1.5}",5,,1580182757
6,3,250,g,,powder,40,,3 capsules,,"{15,10,2.5}",3,,1580182757
7,4,50,g,,powder,8,,3 capsules,,"{10,8,1.5}",6,,1580182757
8,4,250,g,,powder,25,,3 capsules,,"{15,10,2.5}",3,,1580182757
9,5,50,g,,powder,8,,3 capsules,,"{10,8,1.5}",9,,1580182757
10,5,250,g,,powder,25,,3 capsules,,"{15,10,2.5}",10,,1580182757
11,6,,,,,10,,,,,,30,1580348940
12,6,,,,,96,,,,,,365,1580348940
13,7,,,,,50,,,,,,30,1580348940
14,7,,,,,540,,,,,,365,1580348940
15,10,50,g,,powder,8,,3 capsules,,"{10,8,1.5}",9,,1584137304
16,10,250,g,,powder,36,,3 capsules,,"{15,10,2.5}",3,,1584137304
17,11,60,ct,500,capsules,18,,1 capsule,,"{10,6,6}",40,,1593274308
18,11,180,ct,500,capsules,40,,1 capsule,,"{12,8,8}",15,,1593274308
19,12,60,ct,400,capsules,18,,1 capsule,,"{10,6,6}",40,,1593274308
20,12,180,ct,400,capsules,40,,1 capsule,,"{12,8,8}",15,,1593274308
21,9,50,g,,powder,18,,½ tsp.,800,"{10,8,1.5}",25,,1593294911
22,9,125,g,,powder,40,,½ tsp.,800,"{15,10,1.5}",10,,1593294911
23,9,60,ct,675,capsules,18,,1 capsule,,"{10,6,6}",25,,1593311066
24,9,180,ct,675,capsules,40,,1 capsule,,"{12,8,8}",15,,1593311066
