commit,username,author_date,commit_date,message
db8d862,gamesguru,2020-07-21 11:46:51,2020-07-21 11:57:17,autodoc svg?
1b863e6,gamesguru,2020-07-21 04:59:23,2020-07-21 05:08:54,"speed up users(), no zero on kcal, and id for tokens"
11a4721,gamesguru,2020-07-20 16:52:53,2020-07-20 16:52:53,fake data
315fe48,gamesguru,2020-07-20 16:49:10,2020-07-20 16:49:10,small
ac0d46b,gamesguru,2020-07-20 16:37:45,2020-07-20 16:37:45,fake data
8fcb571,gamesguru,2020-07-20 16:31:43,2020-07-20 16:37:33,better
a887cda,gamesguru,2020-07-20 16:29:34,2020-07-20 16:29:34,wip
61f746d,gamesguru,2020-07-20 15:03:17,2020-07-20 15:11:48,better
0d62366,gamesguru,2020-07-20 14:50:51,2020-07-20 15:00:20,faker
ae7ad9e,gamesguru,2020-07-20 14:32:59,2020-07-20 14:33:08,copy over pg utils from ntserv
f470d65,gamesguru,2020-07-20 13:42:29,2020-07-20 13:42:29,new function names
9384eb1,gamesguru,2020-07-20 13:32:29,2020-07-20 13:32:29,"remove nutr_desc, fdgrp_desc, and units from sorts"
e7976a9,gamesguru,2020-07-20 13:26:43,2020-07-20 13:26:43,remove unused func: product_reviews()
5849641,gamesguru,2020-07-20 13:16:40,2020-07-20 13:16:40,improve functions()
28ae375,gamesguru,2020-07-20 13:08:28,2020-07-20 13:08:28,remove unused functions
91f9356,gamesguru,2020-07-20 12:58:56,2020-07-20 12:58:56,functions function
25bf79e,gamesguru,2020-07-20 12:19:19,2020-07-20 12:19:19,email table
ce48a7a,gamesguru,2020-07-20 12:09:04,2020-07-20 12:09:04,func fixes
2609f21,gamesguru,2020-07-20 11:23:15,2020-07-20 11:23:15,"rename funcs, no get_ prefix"
f56dadd,gamesguru,2020-07-20 00:03:48,2020-07-20 00:03:48,wip
aeafd34,gamesguru,2020-07-19 15:33:27,2020-07-19 15:33:27,user_id_in opt arg for users()
4469464,gamesguru,2020-07-19 11:54:28,2020-07-19 11:54:28,run: git co 5e7b172 -- .
51ce812,gamesguru,2020-07-19 11:53:23,2020-07-19 11:53:23,wip2
c8ae3f4,gamesguru,2020-07-19 11:37:37,2020-07-19 11:42:56,wip
5e7b172,gamesguru,2020-07-19 11:26:32,2020-07-19 11:26:57,fuller users()
98fb3b0,gamesguru,2020-07-19 11:15:48,2020-07-19 11:15:48,function: users()
b5d9a70,gamesguru,2020-07-19 09:44:17,2020-07-19 09:45:30,remove unused user table cols
13d94bc,gamesguru,2020-07-19 09:08:06,2020-07-19 09:11:22,"add function: meta, tables()"
2188b93,gamesguru,2020-07-19 08:57:51,2020-07-19 08:57:51,"phone, email non null on addy"
5e7048d,gamesguru,2020-07-18 21:08:19,2020-07-18 21:17:58,add sort_foods_by_kcal_nutrient_id()
a8d4090,gamesguru,2020-07-18 16:51:20,2020-07-18 16:51:20,don't use decimal JSON python err
1a5ee29,gamesguru,2020-07-18 15:13:19,2020-07-18 15:13:24,"remove zero rda, division by zero error"
429af04,gamesguru,2020-07-18 15:12:59,2020-07-18 15:12:59,"rename food_count, add avg_val and avg_rda"
12f99e8,gamesguru,2020-07-18 12:13:42,2020-07-18 12:13:42,reorder
d6ed106,gamesguru,2020-07-18 11:25:18,2020-07-18 11:25:18,add cap mg for immune
f67c8bc,gamesguru,2020-07-18 10:50:23,2020-07-18 10:52:39,"add function get_nutrients_overview, w/ # in ndata"
af681fd,gamesguru,2020-07-16 18:59:56,2020-07-16 19:19:18,bump vit D rda
10f6b5c,gamesguru,2020-07-15 13:08:31,2020-07-15 13:08:34,start analyze script
3b6aba9,gamesguru,2020-07-15 12:35:49,2020-07-15 12:35:49,add 11.97 g ALA for flaxseed
5824359,gamesguru,2020-07-13 13:45:25,2020-07-13 13:45:25,add 2g RDA for ALA
8d4a40f,gamesguru,2020-07-13 13:20:15,2020-07-13 13:20:15,remove is_anti for now (from nutr_def)
9e62476,gamesguru,2020-07-13 13:19:39,2020-07-13 13:19:39,bump proanthocyanin RDA values
8ff99ab,gamesguru,2020-07-12 18:16:35,2020-07-12 18:16:35,get_foodS_servings
810421e,gamesguru,2020-07-02 10:40:21,2020-07-02 10:40:21,"update variants, servings, function"
